Rank	Word	Frequency	Length
7	THAT	11073318	4
12	WITH	7725512	4
24	WHICH	4580906	5
25	HAVE	4346500	4
27	FROM	4108111	4
28	THIS	4015425	4
33	THEY	3340398	4
34	WERE	3323884	4
39	THEIR	2820265	5
42	SAID	2637136	4
43	THEM	2509917	4
46	WOULD	2400858	5
47	BEEN	2357654	4
48	WILL	2320022	4
50	WHEN	1980046	4
51	THERE	1961200	5
53	MORE	1899787	4
56	INTO	1703963	4
59	YOUR	1658553	4
60	WHAT	1605908	4
63	COULD	1571110	5
64	OTHER	1533530	5
65	THAN	1508779	4
67	SOME	1476767	4
68	VERY	1462382	4
69	TIME	1449681	4
70	UPON	1424595	4
71	ABOUT	1414687	5
74	ONLY	1318367	4
76	LIKE	1280625	4
77	LITTLE	1273589	6
78	THEN	1255636	4
80	SHOULD	1192154	6
81	MADE	1188501	4
84	SUCH	1136757	4
86	GREAT	1120163	5
87	BEFORE	1117089	6
88	MUST	1108116	4
90	THESE	1090510	5
92	KNOW	1075612	4
93	OVER	1056659	4
94	MUCH	1021822	4
95	DOWN	989808	4
96	AFTER	978575	5
97	FIRST	978196	5
99	GOOD	966602	4
102	NEVER	899673	5
103	MOST	889691	4
105	SHALL	883846	5
107	WHERE	881975	5
108	THOSE	878621	5
109	CAME	873144	4
110	COME	873007	4
113	WORK	829823	4
114	LIFE	825485	4
117	MAKE	807600	4
118	WELL	799596	4
120	BEING	792220	5
121	LONG	791686	4
123	MIGHT	787455	5
127	EVEN	750750	4
129	AGAIN	745230	5
130	MANY	744168	4
131	BACK	740270	4
132	HERE	729829	4
133	THINK	715780	5
134	EVERY	704444	5
135	PEOPLE	701741	6
136	WENT	690186	4
137	SAME	689376	4
138	LAST	680833	4
140	AWAY	673810	4
141	UNDER	671168	5
142	TAKE	656486	4
143	FOUND	654512	5
144	HAND	648227	4
145	EYES	647788	4
146	STILL	640067	5
147	PLACE	621773	5
148	WHILE	613918	5
149	JUST	610168	4
150	ALSO	608042	4
151	YOUNG	591821	5
153	THOUGH	570877	6
155	THINGS	567559	6
157	EVER	559207	4
158	GIVE	554003	4
160	YEARS	547420	5
162	FACE	544251	4
164	RIGHT	536737	5
165	ONCE	534154	4
167	LEFT	531797	4
168	PART	526137	4
170	HOUSE	517564	5
171	WORLD	517557	5
172	HEAD	512481	4
173	THREE	502146	5
174	TOOK	501669	4
176	LOVE	496496	4
